n,selectsort,mergesort,quicksort
258,36050,11994,44007
259,35259,11917,44069
260,44010,18636,49605
261,35673,13189,45514
262,37988,14404,44481
263,35307,12656,44840
264,36816,12029,43547
265,37240,12006,43955
266,37279,13425,46866
267,36702,12645,45461
268,36879,13172,45393
269,37213,13377,45561
270,36849,12539,44374
271,37837,12368,44500
272,37579,13350,45704
273,38464,13563,45882
274,38303,12968,45368
275,38392,12986,45190
276,38791,13902,46887
277,38415,13876,49470
278,41736,13794,46525
279,39787,13214,45903
280,45586,13718,46382
281,40017,14436,47717
282,40579,14376,48190
283,40117,13778,47222
284,40389,13855,46704
285,55323,14968,50837
286,67984,19925,63268
287,72208,35298,66338
288,79158,20797,66797
289,46057,16441,53219
290,45795,15870,52677
291,53950,16517,54575
292,80772,21456,110573
293,59338,17680,57042
294,48793,16647,54780
295,48514,16456,55029
296,47246,17145,54852
297,47677,16299,65887
298,52640,17265,63284
299,51956,16284,57001
300,45349,15973,51904
301,67713,15678,51812
302,45754,16608,52630
303,47521,16283,52697
304,46988,15828,51351
305,44466,14858,48870
306,43794,14903,48805
307,42616,14542,46734
308,41447,14277,46500
309,43770,15480,48577
310,45089,15858,49698
311,44691,15847,49509
312,45399,15772,49700
313,45333,15696,49344
314,50703,17734,50592
315,45121,16100,50137
316,74195,15994,68326
317,53881,17044,53641
318,50397,16690,52074
319,49805,16395,52537
320,49889,17219,53434
321,54680,17309,53531
322,49947,17865,73692
323,51184,20810,54650
324,50782,16867,53482
325,63759,17856,55595
326,50051,18061,54867
327,63224,17366,54964
328,92884,24041,70922
329,52026,18980,57190
330,52940,18923,57614
331,54194,17988,56202
332,53379,18101,56210
333,71893,30407,59085
334,54353,19081,57982
335,55658,18420,56784
336,55746,18454,56623
337,57544,20143,60181
338,56935,19229,59183
339,57914,19319,59162
340,54781,18180,55963
341,50596,17220,55768
342,51410,17549,74724
343,51292,18266,54423
344,60338,18264,54759
345,63417,17734,54372
346,54843,18357,55385
347,70688,19492,59773
348,70368,19542,59641
349,79432,23734,70184
350,97043,24998,78483
351,83266,27147,79327
352,109232,28028,89064
353,107065,27313,80993
354,107246,27770,81503
355,107084,28399,82378
356,105863,27865,80869
357,126845,43290,113592
358,100417,28929,81632
359,104115,28062,82381
360,114342,29654,85639
361,96845,23785,145966
362,95531,30700,84246
363,82234,24750,105318
364,114177,30346,85144
365,91466,27464,80751
366,118608,30197,101101
367,153412,30725,88067
368,111788,24022,70855
369,116840,30254,84071
370,72440,24142,69824
371,71224,23303,68878
372,82521,37147,95125
373,69804,23486,68208
374,81781,26773,69946
375,68221,23424,66876
376,70720,23237,74486
377,71509,23585,67293
378,71400,23682,68219
379,81845,33760,89496
380,75107,27839,83836
381,132285,32232,90228
382,122990,33104,94215
383,126456,32208,104219
384,148782,39494,77581
385,122584,31884,90037
386,127120,31105,85294
387,131430,31972,91304
388,139042,32739,91388
389,135941,32658,91802
390,112579,31046,89013
391,142355,32414,93236
392,147304,32686,95717
393,139680,31828,93625
394,150689,33875,97345
395,98287,26610,78744
396,79254,25126,74213
397,124278,32434,91562
398,79748,25597,75302
399,83836,24139,72494
400,112026,27863,82496
401,76244,24170,71838
402,140661,24810,106119
403,74596,23592,99775
404,77042,24016,71239
405,101349,24489,73241
406,82660,24451,73560
407,92617,22762,69567
408,79871,23664,70560
409,76891,23690,70498
410,135013,30197,88554
411,83355,23901,71737
412,110303,23354,72206
413,79575,24145,72936
414,83673,23697,73203
415,81400,23317,72813
416,86153,24263,74092
417,99873,24442,75730
418,85882,24326,75926
419,159391,33565,137415
420,153801,33373,101825
421,85594,45722,80866
422,86832,25129,77743
423,86250,24400,76709
424,100192,23739,74852
425,84192,23508,74511
426,84954,23720,75216
427,85684,23383,74741
428,84346,23871,74058
429,103656,23970,76527
430,88992,23779,74600
431,84158,23597,75031
432,91064,23559,75773
433,88232,24135,77410
434,86704,23925,76426
435,170046,29427,89959
436,89922,24626,77665
437,138146,30152,91005
438,90063,24492,88174
439,90858,24649,77914
440,91912,23771,94644
441,90954,22746,73684
442,85072,23023,73848
443,104220,22403,74032
444,121226,36018,75067
445,90219,23019,75631
446,94603,24087,79595
447,91149,23040,76896
448,82074,21058,69481
449,95842,21089,69164
450,95848,20571,68356
451,88578,21085,70259
452,92764,21277,85344
453,88016,22280,74748
454,152353,25790,79248
455,127447,24033,79756
456,95609,24651,79889
457,93263,23493,120986
458,154063,30459,92163
459,154475,25882,81773
460,110618,24310,82262
461,130831,24157,80733
462,104428,24163,81245
463,102788,26938,83034
464,107205,24109,81736
465,108284,24937,84446
466,102469,24741,84590
467,110419,26377,90409
468,156466,30898,98886
469,102246,25517,85890
470,103931,25578,86397
471,108913,26424,108273
472,120283,25344,86215
473,113038,25725,90186
474,107658,25181,85047
475,142771,28398,93477
476,191679,29018,116026
477,190961,31454,105681
478,175336,33389,105734
479,107535,25497,87671
480,110156,27417,91914
481,148176,25864,103945
482,196647,32272,98858
483,184880,32918,109374
484,179397,32289,119662
485,133128,34721,114998
486,115197,26487,93115
487,115255,28579,94820
488,164294,31333,107232
489,114571,26532,92813
490,114750,26672,108314
491,113294,41979,88148
492,131503,27182,112279
493,106437,24217,84640
494,116988,23542,109110
495,109771,23615,86289
496,114718,24458,87565
497,112617,25302,92902
498,109859,24144,88022
499,111178,24803,101835
500,108567,27407,127884
501,202642,33473,120631
502,152086,27139,99120
503,113901,24693,88895
504,191916,32276,108305
505,133895,236727,106286
506,115529,24929,89783
507,114245,24183,119090
508,122559,25585,92820
509,137938,26132,96340
510,231316,31984,115004
511,131730,26297,96305
512,124535,26590,96218
513,204230,32952,116250
514,123923,26872,99538
515,124365,26943,97269
516,124454,26463,110647
517,126098,26671,94807
518,122634,25566,93879
519,122134,39647,91321
520,119921,24967,91281
521,120985,26106,92694
522,127801,25462,93333
523,137354,25291,90106
524,118461,25316,90394
525,135533,26410,95783
526,226704,36464,123140
527,187714,32745,135879
528,130255,27114,96874
529,197690,34654,122993
530,218110,34880,121849
531,133329,28561,100719
532,135291,28734,101221
533,129964,27628,97735
534,143980,26773,95118
535,144911,26908,94875
536,157484,28121,99578
537,142542,26923,95154
538,128050,26617,95093
539,143001,27459,97037
540,126890,26712,94977
541,129640,26811,94849
542,129323,27547,96552
543,129185,26895,95412
544,125604,26223,92982
545,122381,26184,90709
546,175544,27187,98933
547,130650,28283,115101
548,131868,28426,117502
549,132500,28561,97276
550,166752,30424,94959
551,129961,26857,94005
552,128428,27071,93944
553,134612,28952,94774
554,128071,27143,103131
555,130871,27497,103231
556,144936,28749,96734
557,130396,27749,95184
558,131340,27246,95053
559,131546,28504,96087
560,132188,27562,95031
561,146503,28108,93931
562,130008,27223,135208
563,130252,27706,93283
564,147112,28945,97105
565,134667,27433,93446
566,127238,26663,89484
567,124317,25107,85707
568,136615,24548,83550
569,136464,24615,83960
570,141055,39152,84032
571,147860,27006,90554
572,142524,27409,104388
573,142749,25638,86820
574,143889,25728,86712
575,141321,25765,86947
576,202582,30234,99230
577,204105,32525,105391
578,906932,36196,126366
579,182258,32068,106304
580,136376,28667,98264
581,152705,33728,97035
582,143611,29019,96228
583,145467,30191,99876
584,142747,30009,97345
585,147283,30189,99338
586,147333,30918,100749
587,215965,36436,136397
588,162516,31680,103693
589,164152,31139,101410
590,153698,31738,100551
591,155857,31895,105422
592,191991,31046,104447
593,151333,32340,102548
594,157812,38569,164535
595,172448,31342,103224
596,191122,33890,109817
597,220424,50241,129102
598,167206,32918,106077
599,177498,32154,105365
600,171300,34313,110917
601,165266,33581,111001
602,211176,34395,111519
603,208731,33546,108344
604,160792,33344,107419
605,160300,32441,106050
606,167616,47464,108484
607,171988,32720,105310
608,158404,32673,104682
609,148321,30513,98387
610,166162,32017,103107
611,159917,33254,106397
612,168486,34240,111306
613,174170,32738,105647
614,159976,32993,105150
615,156800,31515,102256
616,157308,31573,102980
617,152872,30871,99167
618,154066,30978,99977
619,159186,31378,119846
620,200228,37548,140644
621,162322,32892,128413
622,166597,33884,108260
623,170380,35319,112732
624,157898,32538,103313
625,200218,34097,105228
626,159768,32212,120121
627,164413,33265,106489
628,190348,35563,111514
629,168805,34805,108965
630,197129,41803,155672
631,179197,35940,111603
632,177266,36281,113590
633,206504,34663,120930
634,261757,33186,103896
635,156809,32499,99969
636,281659,34316,107070
637,172582,34379,108694
638,188490,35438,111840
639,188123,36150,113864
640,195129,51222,147333
641,231685,36193,129645
642,189623,36176,111606
643,168316,34650,107443
644,163333,33075,103141
645,166845,32990,103696
646,218315,39592,112419
647,170140,34875,123884
648,171284,35195,108254
649,177967,36278,127983
650,184107,34873,104839
651,167676,34335,105746
652,173177,35548,109725
653,168642,33695,105027
654,171877,33700,104968
655,192693,35272,109870
656,176712,35065,108272
657,182791,36561,112176
658,179909,36148,110409
659,176839,35803,123398
660,209068,36120,157409
661,259607,46902,138058
662,185081,38919,116493
663,210229,36156,111341
664,170859,35451,107832
665,170438,33789,104704
666,184412,33964,104120
667,184115,34333,104521
668,172439,34162,105375
669,177881,36342,110216
670,172276,34735,106132
671,176022,35616,111978
672,174379,35355,107557
673,256855,42919,123101
674,192520,35117,123337
675,241110,35369,123514
676,218278,34808,105600
677,246173,56996,126085
678,233429,34909,105153
679,172335,34112,103604
680,243316,51648,110994
681,199372,36555,110865
682,181818,36957,110847
683,187380,34354,125669
684,172780,35081,107362
685,194136,34727,105163
686,190672,34871,105631
687,189248,35169,105324
688,206863,36058,108097
689,203277,36493,109444
690,226410,38742,116323
691,193512,37785,114222
692,207340,37855,114575
693,200686,39888,119328
694,201712,40416,119824
695,196111,38483,114924
696,202681,39220,116883
697,188768,38284,113972
698,201469,51086,132780
699,197842,39311,117044
700,195225,39543,116376
701,203187,37020,116539
702,225564,36633,155441
703,187262,39064,130808
704,245237,38679,114485
705,200816,39223,116999
706,206371,40934,121684
707,219481,43302,127949
708,230282,42277,131380
709,214118,42858,126099
710,267394,42837,125924
711,242628,43934,127650
712,235340,43105,126376
713,215467,42552,125861
714,229783,41031,122354
715,215941,43332,138618
716,211041,41190,121905
717,209731,41314,122441
718,213226,41812,123424
719,220312,42512,141596
720,346026,52177,142056
721,231244,42308,123945
722,245907,42586,125235
723,246055,42787,125435
724,229215,45217,133118
725,339798,52628,137675
726,231732,45495,134646
727,214501,42043,124110
728,258666,40374,118132
729,211797,40821,120894
730,226743,41148,120654
731,206085,41006,118435
732,217766,43303,141547
733,249275,45421,134203
734,233843,46155,134657
735,236296,46428,134703
736,271870,46342,134341
737,235957,46643,137318
738,236908,46648,135272
739,245801,47379,138797
740,435300,48885,159026
741,237625,47636,136896
742,232214,45797,132258
743,235776,46251,134397
744,401308,55888,149397
745,235687,46121,162806
746,252176,49661,147170
747,252050,47976,138981
748,242144,50651,142072
749,368382,47810,148204
750,357621,46351,135174
751,261851,50776,163856
752,276836,49852,148007
753,255233,49758,142265
754,278936,45763,132766
755,238032,50899,202160
756,251115,64125,168936
757,232679,45591,130831
758,236062,46859,134042
759,359557,52724,133143
760,249884,48365,136893
761,250471,45340,131048
762,222538,43307,123802
763,284440,44545,128337
764,239909,46866,134365
765,266326,46159,132961
766,247357,47925,139878
767,230585,47172,127991
768,291120,46238,132201
769,238784,44556,127609
770,218623,42691,133975
771,225075,42786,123770
772,280082,63760,122538
773,239109,48158,136098
774,285357,46659,134711
775,248462,46815,134031
776,243666,46369,134084
777,293596,46824,135287
778,321368,53050,136812
779,245324,46563,134861
780,245133,46334,135183
781,332817,59873,149477
782,255602,47530,137166
783,437986,47115,136295
784,251136,46669,135925
785,305137,46875,136677
786,355356,46636,149927
787,421129,57454,163154
788,349284,48157,141820
789,279544,53812,151408
790,266822,65648,228789
791,279112,51816,151178
792,400353,51392,151954
793,495133,64998,185252
794,320354,51552,173054
795,481306,62369,181185
796,271035,49953,146937
797,282109,51484,153937
798,293479,50595,153054
799,595007,116089,199433
800,418845,53199,157373
801,508650,68928,203268
802,285919,49662,151638
803,382878,61910,178128
804,276306,49984,148637
805,363194,49981,148386
806,296357,51115,154120
807,299347,53880,189513
808,395929,51826,158037
809,441951,57714,154949
810,279173,66324,193831
811,292813,49746,148098
812,308932,50761,152893
813,311669,50108,149311
814,280144,48967,149052
815,266653,43430,131619
816,361967,54598,160293
817,246330,40603,122627
818,245989,42253,128381
819,270449,44719,135637
820,295921,46900,142292
821,268212,48074,144541
822,278636,46845,141590
823,523804,62302,202236
824,288026,49840,150824
825,603165,70126,196364
826,554942,61056,184272
827,500400,60211,195460
828,581385,63908,190847
829,534466,65906,195184
830,551613,61154,179621
831,560652,64336,194564
832,565342,66046,196842
833,543237,64599,166491
834,477052,53432,165118
835,573761,66488,197720
836,567701,66171,198553
837,499257,51696,159264
838,549273,65352,193201
839,312877,52283,159789
840,562084,63731,190218
841,608797,83340,205581
842,608836,70231,203458
843,433214,58291,165295
844,465862,65426,198054
845,563073,51797,162704
846,564680,66433,201098
847,584583,65241,187250
848,313228,52487,160929
849,487905,63763,193632
850,348326,52715,161885
851,319298,51923,162342
852,351593,51985,161908
853,377895,78294,158301
854,316853,51176,160913
855,317959,51783,161938
856,331096,62028,158415
857,314033,50486,167117
858,428541,49115,153999
859,296998,48499,153584
860,363428,47511,156806
861,318513,46740,148388
862,291664,47154,149035
863,339996,47213,150036
864,526968,48871,154424
865,324293,52029,167740
866,380386,47421,150439
867,297423,47542,149863
868,349782,89350,146532
869,272198,43650,137857
870,272180,60601,146441
871,329294,46058,146311
872,297366,47523,153436
873,283993,44829,142245
874,308382,44021,141395
875,290044,44612,142469
876,294048,45787,146231
877,392295,66057,151030
878,311352,45685,208041
879,292891,45832,146532
880,331276,45930,208797
881,302998,45620,147341
882,400580,63875,198502
883,581438,54949,178148
884,401401,48468,184250
885,338190,47639,152769
886,418250,53370,144402
887,354086,46874,148764
888,309014,46845,151858
889,313932,46839,151787
890,390271,47494,170687
891,330353,47229,152858
892,360314,48917,161885
893,377065,59195,165915
894,328776,47414,161458
895,344149,50324,155485
896,334932,45987,151164
897,348808,48965,159947
898,567716,49249,304586
899,324849,49466,160347
900,323764,47318,167574
901,533781,58777,190226
902,374734,50953,166454
903,411366,61030,167278
904,570748,70512,203649
905,404656,48817,161330
906,435629,50520,166997
907,351150,50400,168262
908,320759,48107,192197
909,325527,47842,157781
910,527379,61358,194351
911,336418,48793,204286
912,407331,49138,162514
913,337026,48201,176328
914,342475,48860,163569
915,387289,47842,161112
916,327753,47475,157144
917,340368,49107,162986
918,347482,70468,180721
919,364544,47541,160647
920,331318,47736,159226
921,339381,46494,154455
922,323981,45862,170609
923,332864,47416,159941
924,332210,47688,160009
925,334898,62347,216490
926,387017,47234,160296
927,344079,48927,165461
928,356829,49092,175713
929,329097,46510,156563
930,479267,50271,169292
931,384166,49571,166317
932,420117,55506,167545
933,329708,46606,157545
934,338878,47452,161494
935,615462,73138,162234
936,405524,63551,167215
937,436858,49136,167530
938,382769,49185,170126
939,3739441,81551,223652
940,724218,66414,219108
941,707325,69522,222491
942,785516,71711,225731
943,382863,60457,218027
944,871695,90328,236293
945,547415,72081,231245
946,662916,66354,189238
947,417295,49337,195464
948,429749,50892,174102
949,393117,79870,197128
950,657107,65735,207446
951,553387,54861,187600
952,397558,51219,174007
953,513851,61746,197215
954,375911,72504,191567
955,428451,50845,175676
956,439378,51847,178281
957,365726,49098,168950
958,681588,59814,209213
959,2790249,2201658,190708
960,484607,51034,176291
961,519153,69166,176887
962,414743,87788,171396
963,398835,48369,228441
964,377738,47834,167122
965,386229,49112,170623
966,349680,46662,161564
967,356048,44998,156327
968,399098,48014,166832
969,429590,60559,187231
970,338791,45070,157947
971,366947,50719,176774
972,373293,63094,187072
973,411817,65243,167468
974,401058,46811,162737
975,542702,46473,177203
976,408642,51340,182562
977,382188,46714,162977
978,382366,49605,174093
979,359816,46478,170811
980,354392,46540,163646
981,424188,44914,173747
982,488313,41849,147085
983,543582,60673,207473
984,412724,42984,198313
985,334774,42428,150265
986,431436,64259,187338
987,344406,44056,156062
988,361031,45308,165273
989,353318,45394,160512
990,333835,42607,151706
991,337154,42210,151352
992,335387,42595,151677
993,337083,42714,152347
994,380266,43199,186791
995,359263,45612,178031
996,403864,45013,158818
997,408953,42979,152965
998,379140,93247,371867
999,373839,42880,152141
1000,349875,44168,181552
1001,350526,44036,183071
1002,389252,44093,157550
1003,409981,43523,158128
1004,356392,44095,158256
1005,361470,43422,157010
1006,368713,44143,159252
1007,390149,43839,159436
1008,392057,43550,157429
1009,356954,43917,158961
1010,344030,42172,153749
1011,384850,42198,154189
1012,349934,42809,154921
1013,353057,42700,155223
1014,350899,42856,155370
1015,401025,42749,156283
1016,352176,42520,154699
1017,356242,42412,154967
1018,446020,56242,156240
1019,356361,83247,210323
1020,355656,42224,155628
1021,527299,43052,157078
1022,355607,43300,156912
1023,366171,42068,155745
1024,396089,42994,156573
1025,357428,43020,156908
1026,358331,43269,259029
1027,357479,43280,157534
1028,358255,42980,156589
1029,368182,43924,161239
1030,380243,52021,216134
1031,376946,44256,158013
1032,405248,44896,162668
1033,410054,45046,163912
1034,372114,44373,171029
1035,372047,45108,162601
1036,379336,45427,170652
1037,364824,44154,161387
1038,411016,49288,178663
1039,426144,51132,185355
1040,411980,102428,229448
1041,440696,52707,190757
1042,457391,53070,191701
1043,457256,54884,197416
1044,472642,55246,208799
1045,471772,56515,227401
1046,519364,75473,226838
1047,428149,51766,185132
1048,454443,48984,175642
1049,388893,46415,165827
1050,402320,47583,170072
1051,405590,46891,166500
1052,400931,49102,171470
1053,425948,46743,167287
1054,385608,45909,165446
1055,467575,46810,169101
1056,427383,46899,185290
1057,399859,49037,190566
1058,424729,48804,185987
1059,392976,49655,185290
1060,392037,47224,167715
1061,387960,46709,166687
1062,392928,46558,166505
1063,432084,77225,168427
1064,392254,47589,168463
1065,521958,47774,169220
1066,461657,48015,169856
1067,393694,47641,167983
1068,396144,47702,168190
1069,395307,104218,169492
1070,413069,47309,167515
1071,412882,47290,168351
1072,609299,63863,165801
1073,399786,48900,171202
1074,392513,46870,165085
1075,386200,46629,164881
1076,431510,46242,252924
1077,404931,48575,197902
1078,399259,48533,203631
1079,400775,48781,169641
1080,402636,48905,170261
1081,403579,47833,169514
1082,505755,47425,167179
1083,524310,65376,263545
1084,471079,110947,169795
1085,396330,47483,166234
1086,408731,48291,169976
1087,407674,48275,169805
1088,451504,49154,206389
1089,413355,49411,171520
1090,436577,51147,177504
1091,410276,62656,173208
1092,413969,49562,171867
1093,414492,50244,173218
1094,450322,49800,173221
1095,412195,49186,171356
1096,427291,48650,301146
1097,403977,48500,167177
1098,738043,48824,171065
1099,445898,48182,167295
1100,409777,49183,168494
1101,418251,50151,173508
1102,463796,50200,174164
1103,460863,49639,172172
1104,423143,49814,172376
1105,424791,52160,180132
1106,621719,49209,170454
1107,541316,64342,168724
1108,472180,49472,170539
1109,412498,49496,169953
1110,454443,49892,170801
1111,431138,51250,175787
1112,423895,50472,174249
1113,427986,51402,175460
1114,425320,50681,319660
1115,473826,51548,176994
1116,419158,49265,169858
1117,460840,50103,171255
1118,416365,49301,170428
1119,436339,53914,175916
1120,423110,49554,170644
1121,492222,68113,487477
1122,461699,50562,176021
1123,425178,50785,213729
1124,545363,81643,228849
1125,447530,52260,178261
1126,470039,51865,177304
1127,440106,52851,178587
1128,496089,52431,179954
1129,486817,51985,176898
1130,441179,52457,178313
1131,441392,64116,179041
1132,437638,52640,178310
1133,453269,52115,177135
1134,524519,52750,178617
1135,443912,51937,194747
1136,540148,67229,305551
1137,590248,62896,240954
1138,523622,67434,218523
1139,486621,57761,195611
1140,549765,56491,207243
1141,485304,58386,196444
1142,475463,56574,191547
1143,502711,55257,204129
1144,512833,54967,185012
1145,435532,52247,175209
1146,564315,52387,177386
1147,449149,53739,180498
1148,451502,53345,179178
1149,456963,53204,179633
1150,456614,79670,208553
1151,474296,53999,183303
1152,553769,59748,226178
1153,462228,68348,380513
1154,630252,72195,246762
1155,505022,54486,192579
1156,4299258,60046,325938
1157,1085574,81213,245981
1158,535320,60915,249895
1159,487577,54674,184134
1160,503790,55097,182307
1161,551145,54359,181434
1162,632694,57005,189814
1163,511751,58500,204082
1164,485194,61157,195533
1165,542181,58139,213108
1166,527721,62168,287314
1167,506672,60590,200772
1168,580812,55796,196508
1169,479350,58085,204371
1170,530648,57492,190637
1171,495870,96899,209579
1172,470536,56032,183867
1173,504919,59469,208180
1174,510224,59358,195410
1175,505520,60063,197491
1176,629111,60050,199545
1177,539004,59078,220416
1178,573615,60924,209724
1179,535230,62539,305507
1180,559941,80252,207409
1181,511759,59588,224845
1182,491715,58270,191678
1183,478308,56983,188825
1184,482179,57022,186729
1185,485355,57345,187823
1186,596973,69361,239448
1187,620004,59476,196036
1188,477845,57028,185962
1189,481827,57869,187489
1190,483537,57727,187839
1191,482593,58014,187854
1192,532534,56955,186428
1193,521748,55441,181434
1194,475160,55445,375717
1195,474008,56403,182767
1196,606189,56423,184094
1197,499287,57005,187161
1198,492801,57351,187140
1199,505501,57929,189574
1200,541278,57367,189522
1201,489950,58252,188737
1202,656413,56206,183533
1203,528916,57201,184173
1204,537256,57109,242600
1205,481477,56815,238819
1206,493216,58724,190051
1207,546608,57831,188785
1208,498841,57980,188814
1209,522316,68466,191074
1210,517487,59008,191053
1211,497099,59024,190967
1212,499214,58523,189832
1213,543050,58771,191786
1214,501558,58322,189842
1215,488759,57226,185401
1216,491351,57245,185316
1217,493105,57514,186025
1218,489172,57643,226971
1219,514426,59432,191776
1220,524452,78116,260329
1221,504832,59496,191773
1222,554468,59054,190975
1223,504871,59485,191745
1224,569742,72088,233207
1225,735951,58750,192132
1226,636811,96528,214392
1227,513701,58425,218702
1228,515565,59963,192714
1229,513954,60415,198048
1230,566990,60091,193557
1231,527012,62478,194724
1232,516411,60278,194908
1233,515546,60719,194027
1234,582488,60835,205930
1235,543421,61778,197258
1236,519198,60661,208439
1237,572276,60731,193889
1238,607417,61233,195909
1239,527897,61367,194818
1240,534690,61146,198210
1241,521473,61000,194429
1242,575666,61508,195666
1243,518085,61224,195257
1244,549194,60808,195030
1245,561900,61565,197353
1246,562793,61763,200550
1247,524531,78559,219169
